"X"	"Y"	"Yield"
582337.703702315	5953931.67076237	3.8732499457825
582348.70977721	5953923.54572671	3.13820302963736
582335.80716935	5953912.68615983	3.9007467027949
582332.427863779	5953909.99309555	3.87052201496321
582329.247679184	5953907.2735232	4.00827098950993
582325.029871445	5953739.6776734	1.86972548183533
582330.703586839	5953745.74740345	1.82606825779382
582342.474718196	5953757.59391779	0.932552412572795
582348.369490104	5953934.75385233	6.57682813130797
582343.556369878	5953930.78229698	5.1682287129594
582340.919210676	5953921.75909809	4.61520533946253
582347.196067179	5953914.35180388	4.887221430208
582313.283005231	5953981.32429164	0.0487523419591831
582365.405469863	5953919.05652295	1.13961600125218
582365.520408208	5953923.1868028	0.107383399591652
582363.976443311	5953931.9087767	3.10873864820957
582353.264529068	5953913.817297	4.77351803345989
582359.30604361	5953914.64902724	5.42380218134979
582362.280584533	5953915.2243684	5.14642463734131
582368.376575414	5953916.90664638	4.71567601034738
582333.255205153	5953970.92437689	0
582337.820571955	5953964.45177226	0
582341.890499644	5953954.96835335	0
582326.301977371	5953804.85506803	0
582342.986795253	5953823.33556199	3.68496029045521
582328.029052157	5953810.23639247	2.99167884000072
582314.145120047	5953991.61400279	0.0252043169203806
582328.119068749	5953971.7152304	0
582328.387410206	5953969.76252459	0
582326.710260515	5953969.34826579	0
582328.275497534	5953970.41342059	0
582322.190270952	5953976.73868076	3.60457471584691
582319.266777006	5953979.88403275	3.97940868835348
582314.83662588	5953984.58584731	4.64209705783412
582313.158636506	5953986.67622988	4.68091302316627
582327.720368963	5953951.38891699	0
582326.339296908	5953955.3332492	0
582338.763839675	5953890.08767295	4.46764854415968
582331.106735131	5953884.15687277	4.59349432339266
582339.782254428	5953953.82117139	0.0910959716852113
582348.415620787	5953954.69789854	0.0766922598406718
582346.587008017	5953905.34739944	4.01353476877287
582339.841640043	5953899.8400226	4.41303862349773
582330.258225988	5953891.85805697	4.50815043976138
582338.416461353	5953943.87242529	2.70544192121639
582341.883475744	5953946.22918884	0
582340.448112589	5953943.02173392	0.0495863716024785
582343.026998778	5953943.73039127	0.637385771736802
582343.948062901	5953953.13201068	3.1251722879575
582334.659786008	5953961.16489256	3.67235213362804
582326.420890168	5953979.24982454	3.2305344941628
582323.834971121	5953982.33571253	3.53292486617817
582320.97570424	5953985.22514395	3.13573955032839
582321.988902625	5953800.76844999	0
582325.001931391	5953807.33431552	2.65478963058531
582307.262443079	5953781.55259989	2.88410422346588
582322.787576172	5953795.26045252	3.75347751997525
582320.578240737	5953812.70171088	3.25309399409712
582314.260739476	5953807.21516127	2.80731473333596
582306.075316181	5953774.51707315	2.3534228513359
582312.082174295	5953780.16414533	2.78202125004613
582318.179145769	5953785.70090076	2.93976958657442
582312.736862359	5953816.32675792	3.37101280508135
582362.747697165	5953849.43912271	3.87412401474612
582348.310491593	5953813.20769977	3.69953624040554
582362.224203613	5953860.20524643	4.57647971340672
582350.764085841	5953850.20167585	4.90412633897457
582360.452894503	5953817.26327753	3.78083308801584
582364.322922287	5953871.58768519	4.18439187132377
582351.541562254	5953868.42989111	4.58628066451487
582344.661089136	5953780.31556557	2.40154849895111
582358.624444369	5953794.53820904	2.38848221828633
582364.204223528	5953800.05489979	2.9078116782163
582363.701418338	5953885.85305491	3.71083493845834
582354.343786481	5953771.5283759	0
582354.559402228	5953770.85306193	0
582351.033095237	5953767.89687664	1.4864788620395
582355.780719538	5953773.2200032	1.66056246345726
582337.192199189	5953783.12882783	2.92883847747598
582343.198917703	5953788.47448791	3.09985414692267
582338.641152874	5953857.79218728	4.14158370015813
582334.801903027	5953765.19457517	1.76757357914175
582331.711260889	5953762.47414803	1.64392763466773
582328.731506944	5953759.72916598	1.68667713128467
582325.773255508	5953756.97157801	1.69565985623928
582339.137029162	5953882.31835124	3.69643275704675
582335.781700574	5953879.82377985	4.16126222875207
582331.761546592	5953954.688381	0.115502778918029
582336.876265973	5953957.74827804	0.296352794337586
582348.827425785	5953953.2794923	0
582316.328502589	5953977.43815341	1.4070531359808
582322.976503646	5953981.35590506	0
582326.264912646	5953969.57440362	0
582328.116946926	5953971.49337211	0
582324.937009136	5953970.10491667	0
582346.091227663	5953791.86190889	3.11451409230235
582357.655539301	5953803.17802016	3.32301983112915
582363.842741593	5953809.04444494	3.61775375042326
582360.966768657	5953876.27924974	3.96902384115064
582357.829162079	5953873.62213895	4.24470904516301
582321.674048334	5953876.10042325	4.85690951970424
582317.932154806	5953936.57020578	3.57612895919722
582321.295559962	5953938.71925055	3.4834656839618
