x y Yield
-59.127694 -37.922169 2.325000
-59.132317 -37.920574 2.328000
-59.127254 -37.921854 2.333000
-59.131462 -37.916875 2.334000
-59.131197 -37.924670 2.334000
-59.132120 -37.916532 2.337000
-59.136387 -37.926195 2.337000
-59.139369 -37.921849 2.339000
-59.137084 -37.919249 2.339000
-59.126450 -37.921277 2.344000
-59.129937 -37.923760 2.347000
-59.132290 -37.915742 2.349000
-59.126500 -37.921317 2.349000
-59.128310 -37.920274 2.351000
-59.136787 -37.926022 2.351000
-59.137887 -37.924242 2.352000
-59.134504 -37.927020 2.353000
-59.139326 -37.922430 2.353000
-59.127790 -37.918942 2.357000
-59.133789 -37.917732 2.358000
-59.136549 -37.926057 2.359000
-59.133379 -37.916717 2.359000
-59.126887 -37.919844 2.361000
-59.131319 -37.924752 2.365000
-59.135379 -37.918994 2.366000
-59.133260 -37.918582 2.367000
-59.139164 -37.921150 2.371000
-59.127732 -37.918985 2.373000
-59.133275 -37.916632 2.376000
-59.134154 -37.917092 2.380000
-59.133327 -37.916674 2.380000
-59.137307 -37.919424 2.380000
-59.135037 -37.927394 2.381000
-59.138971 -37.920994 2.381000
-59.135194 -37.918849 2.383000
-59.129667 -37.921432 2.384000
-59.133117 -37.916503 2.384000
-59.133219 -37.921895 2.386000
-59.134151 -37.916902 2.386000
-59.133104 -37.918070 2.386000
-59.138651 -37.920507 2.386000
-59.130744 -37.924149 2.386000
-59.132012 -37.916105 2.387000
-59.129062 -37.923139 2.387000
-59.127220 -37.921827 2.387000
-59.131007 -37.924029 2.387000
-59.134331 -37.926787 2.389000
-59.134484 -37.926902 2.389000
-59.127590 -37.922094 2.392000
-59.127535 -37.922055 2.392000
-59.129364 -37.920114 2.394000
-59.129430 -37.923399 2.394000
-59.135159 -37.919192 2.398000
-59.136921 -37.919119 2.400000
-59.126402 -37.919667 2.400000
-59.126535 -37.920845 2.401000
-59.133172 -37.916545 2.402000
-59.131575 -37.920640 2.402000
-59.126365 -37.920722 2.404000
-59.134466 -37.918264 2.405000
-59.128657 -37.919552 2.407000
-59.131615 -37.920670 2.407000
-59.133856 -37.917099 2.412000
-59.133257 -37.917682 2.414000
-59.126115 -37.921044 2.421000
-59.133374 -37.921412 2.422000
-59.126935 -37.919807 2.424000
-59.137141 -37.919294 2.427000
-59.135257 -37.918897 2.429000
-59.133946 -37.916924 2.430000
-59.134381 -37.926825 2.432000
-59.139349 -37.921299 2.432000
-59.136864 -37.919074 2.432000
-59.134399 -37.918215 2.434000
-59.136497 -37.918975 2.434000
-59.129260 -37.920002 2.434000
-59.133017 -37.921699 2.435000
-59.128404 -37.919484 2.436000
-59.129327 -37.923324 2.437000
-59.132467 -37.915978 2.438000
-59.133324 -37.917357 2.438000
-59.127357 -37.921930 2.438000
-59.136559 -37.921837 2.440000
-59.131247 -37.924705 2.441000
-59.137859 -37.921090 2.442000
-59.127640 -37.922132 2.442000
-59.134946 -37.919027 2.443000
-59.140759 -37.922277 2.443000
-59.126962 -37.921650 2.444000
-59.130162 -37.923924 2.445000
-59.139302 -37.921260 2.446000
-59.131415 -37.915840 2.448000
-59.134177 -37.917352 2.451000
-59.127014 -37.921687 2.451000
-59.126987 -37.919767 2.452000
-59.129360 -37.923349 2.452000
-59.134099 -37.916862 2.454000
-59.130932 -37.924175 2.457000
-59.130805 -37.924192 2.459000
-59.135542 -37.919252 2.461000
-59.139294 -37.922587 2.462000
-59.133732 -37.918059 2.462000
-59.135437 -37.919040 2.464000
-59.135317 -37.918947 2.466000
-59.127747 -37.922205 2.467000
-59.126422 -37.920765 2.467000
-59.137366 -37.920579 2.468000
-59.130794 -37.924384 2.469000
-59.134997 -37.927369 2.473000
-59.126535 -37.921055 2.474000
-59.136311 -37.920210 2.477000
-59.134279 -37.926750 2.477000
-59.129209 -37.920044 2.478000
-59.132895 -37.925879 2.482000
-59.132435 -37.915717 2.482000
-59.129532 -37.923474 2.484000
-59.126220 -37.921022 2.485000
-59.126552 -37.921354 2.486000
-59.135084 -37.926929 2.488000
-59.128120 -37.920072 2.491000
-59.125569 -37.920427 2.491000
-59.127684 -37.919229 2.492000
-59.139211 -37.921187 2.492000
-59.136972 -37.919165 2.492000
-59.133477 -37.921500 2.493000
-59.127809 -37.919137 2.497000
-59.135626 -37.918512 2.498000
-59.127762 -37.919172 2.498000
-59.133260 -37.917305 2.499000
-59.130685 -37.924107 2.499000
-59.136586 -37.918849 2.499000
-59.138159 -37.921002 2.499000
-59.126707 -37.921179 2.500000
-59.139997 -37.921880 2.503000
-59.126052 -37.920382 2.505000
-59.137972 -37.920154 2.507000
-59.132774 -37.916225 2.507000
-59.137624 -37.919677 2.509000
-59.133751 -37.926482 2.509000
-59.132342 -37.915640 2.513000
-59.134099 -37.926730 2.514000
-59.136599 -37.919057 2.515000
-59.126605 -37.921392 2.519000
-59.134842 -37.921095 2.520000
-59.137574 -37.920750 2.520000
-59.127170 -37.921790 2.521000
-59.125974 -37.920449 2.521000
-59.129222 -37.923250 2.522000
-59.126840 -37.919879 2.523000
-59.130215 -37.923960 2.523000
-59.137044 -37.919410 2.524000
-59.136134 -37.919599 2.527000
-59.131162 -37.924645 2.527000
-59.136549 -37.919017 2.528000
-59.133667 -37.926424 2.530000
-59.126455 -37.919765 2.531000
-59.138977 -37.920772 2.531000
-59.138404 -37.924607 2.533000
-59.139374 -37.921417 2.533000
-59.133431 -37.916760 2.535000
-59.126835 -37.921060 2.537000
-59.139422 -37.921452 2.540000
-59.127897 -37.920805 2.540000
-59.136641 -37.918894 2.541000
-59.135034 -37.926894 2.542000
-59.128632 -37.922649 2.543000
-59.133709 -37.926454 2.544000
-59.133024 -37.925970 2.545000
-59.139741 -37.921392 2.545000
-59.130617 -37.924255 2.546000
-59.136219 -37.919260 2.547000
-59.131932 -37.916227 2.552000
-59.136664 -37.919112 2.554000
-59.134169 -37.918505 2.555000
-59.136747 -37.919175 2.556000
-59.129274 -37.923287 2.557000
-59.127857 -37.919102 2.557000
-59.132140 -37.920439 2.558000
-59.128944 -37.921110 2.559000
-59.132954 -37.925922 2.561000
-59.136166 -37.919304 2.561000
-59.130739 -37.924347 2.564000
-59.134921 -37.927314 2.564000
-59.126874 -37.921087 2.565000
-59.135121 -37.927437 2.566000
-59.133087 -37.921835 2.568000
-59.139256 -37.921224 2.569000
-59.131975 -37.917570 2.570000
-59.128544 -37.922480 2.570000
-59.135689 -37.918560 2.571000
-59.133424 -37.926252 2.572000
-59.130924 -37.924277 2.573000
-59.140167 -37.922005 2.573000
-59.139772 -37.923324 2.573000
-59.133312 -37.916228 2.574000
-59.127464 -37.922005 2.574000
-59.134206 -37.916944 2.574000
-59.136064 -37.919379 2.575000
-59.130072 -37.923672 2.576000
-59.132240 -37.915698 2.576000
-59.130109 -37.923885 2.577000
-59.130740 -37.920260 2.579000
-59.127117 -37.921757 2.583000
-59.132217 -37.921167 2.584000
-59.133851 -37.919810 2.585000
-59.129117 -37.923175 2.585000
-59.139022 -37.920885 2.586000
-59.135661 -37.919229 2.586000
-59.133799 -37.917845 2.590000
-59.137517 -37.923214 2.592000
-59.130267 -37.923997 2.594000
-59.131060 -37.921575 2.595000
-59.133381 -37.917404 2.595000
-59.132575 -37.915642 2.597000
-59.131490 -37.920580 2.598000
-59.131574 -37.915720 2.600000
-59.132477 -37.916660 2.600000
-59.126947 -37.921142 2.600000
-59.136116 -37.919340 2.605000
-59.137424 -37.920627 2.605000
-59.126654 -37.921432 2.606000
-59.128444 -37.922404 2.606000
-59.127140 -37.919650 2.607000
-59.135564 -37.918464 2.607000
-59.130864 -37.924234 2.607000
-59.132082 -37.920390 2.610000
-59.128365 -37.920317 2.611000
-59.132175 -37.916420 2.611000
-59.135614 -37.925042 2.612000
-59.136472 -37.919192 2.613000
-59.134339 -37.918164 2.613000
-59.136796 -37.919215 2.615000
-59.132577 -37.925652 2.616000
-59.131057 -37.924572 2.616000
-59.128205 -37.920194 2.616000
-59.137677 -37.919720 2.617000
-59.125714 -37.920467 2.617000
-59.137269 -37.925422 2.618000
-59.132832 -37.916272 2.618000
-59.131362 -37.915878 2.619000
-59.131967 -37.920295 2.620000
-59.126639 -37.920027 2.621000
-59.129055 -37.922950 2.621000
-59.131797 -37.925097 2.621000
-59.131092 -37.924597 2.621000
-59.130985 -37.924320 2.621000
-59.130800 -37.924277 2.621000
-59.126124 -37.919869 2.622000
-59.125977 -37.920947 2.623000
-59.133832 -37.919799 2.624000
-59.139221 -37.921297 2.626000
-59.138021 -37.920192 2.630000
-59.137779 -37.919804 2.630000
-59.130747 -37.924240 2.630000
-59.135202 -37.918179 2.632000
-59.139167 -37.921252 2.632000
-59.125554 -37.920494 2.633000
-59.136696 -37.919139 2.633000
-59.127569 -37.920377 2.633000
-59.128069 -37.920234 2.635000
-59.133896 -37.916882 2.636000
-59.139477 -37.921480 2.636000
-59.137629 -37.920790 2.637000
-59.133442 -37.917259 2.637000
-59.133209 -37.918542 2.638000
-59.139751 -37.921692 2.638000
-59.138504 -37.920864 2.641000
-59.133827 -37.922979 2.643000
-59.130694 -37.924200 2.643000
